00:50:C2:13:00:00/36	USTraffi	U.S. Traffic Corporation
00:50:C2:13:10:00/36	InBusEng	InBus Engineering, Inc.
00:50:C2:13:20:00/36	ProconEl	Procon Electronics
00:50:C2:13:30:00/36	ChipWrig	ChipWrights, Inc.
00:50:C2:13:40:00/36	DRSPhotr	DRS Photronics
00:50:C2:13:50:00/36	Elad	Elad Srl
00:50:C2:13:60:00/36	Tensilic	Tensilica, Inc.
00:50:C2:13:70:00/36	UniwellU	Uniwell Systems (UK) Ltd.
00:50:C2:13:80:00/36	DelphinT	Delphin Technology AG
00:50:C2:13:90:00/36	SrResear	Sr Research Ltd
00:50:C2:13:A0:00/36	TexCompu	Tex Computer SRL
00:50:C2:13:B0:00/36	Vaisala	Vaisala Oyj
00:50:C2:13:C0:00/36	NBGIndus	NBG Industrial Automation B.V.
00:50:C2:13:D0:00/36	FormulaO	Formula One Management Ltd.
00:50:C2:13:E0:00/36	AVerMedi	AVerMedia Systems, Inc.
00:50:C2:13:F0:00/36	SentitoN	Sentito Networks
00:50:C2:14:00:00/36	ITS	ITS, Inc.
00:50:C2:14:10:00/36	TimeTerm	Time Terminal Adductor Group AB
00:50:C2:14:20:00/36	Instrume	Instrumeter A/S
00:50:C2:14:30:00/36	Aartesys	Aartesys Ag
00:50:C2:14:40:00/36	PhytecMe	Phytec Messtechnik GmbH
00:50:C2:14:50:00/36	ELCLight	ELC Lighting
00:50:C2:14:60:00/36	APCON	APCON, Inc.
00:50:C2:14:70:00/36	UniSUR
00:50:C2:14:80:00/36	Alltec	Alltec GmbH
00:50:C2:14:90:00/36	Haag-Str	Haag-Streit AG
00:50:C2:14:A0:00/36	Dycec	Dycec, S.A.
00:50:C2:14:B0:00/36	HECUBAEl	HECUBA Elektronik
00:50:C2:14:C0:00/36	Optibase	Optibase Ltd.
00:50:C2:14:D0:00/36	wellink	wellink, Ltd.
00:50:C2:14:E0:00/36	CorinexG	Corinex Global
00:50:C2:14:F0:00/36	Telephon	Telephonics Corp.
00:50:C2:15:00:00/36	Torse
00:50:C2:15:10:00/36	ReduxCom	Redux Communications Ltd.
00:50:C2:15:20:00/36	AirVastT	AirVast Technology Inc.
00:50:C2:15:30:00/36	Advanced	Advanced Devices SpA
00:50:C2:15:40:00/36	Jostra	Jostra AB
00:50:C2:15:50:00/36	EneaReal	Enea Real Time AB
00:50:C2:15:60:00/36	CommServ	CommServ Solutions Inc.
00:50:C2:15:70:00/36	nCore	nCore, Inc.
00:50:C2:15:80:00/36	Communic	Communication Solutions, Inc.
00:50:C2:15:90:00/36	Standard	Standard Comm. Corp.
00:50:C2:15:A0:00/36	Plextek	Plextek Limited
00:50:C2:15:B0:00/36	DuneNetw	Dune Networks
00:50:C2:15:C0:00/36	AoptixTe	Aoptix Technologies
00:50:C2:15:D0:00/36	Cepheid
00:50:C2:15:E0:00/36	Celite	Celite Systems, Inc.
00:50:C2:15:F0:00/36	Pulsar	Pulsar GmbH
00:50:C2:16:00:00/36	TTI-Tele	TTI - Telecom International Ltd.
00:50:C2:16:10:00/36	J&BEngin	J&B Engineering Group S.L.
00:50:C2:16:20:00/36	Teseda	Teseda Corporation
00:50:C2:16:30:00/36	Computer	Computerwise, Inc.
00:50:C2:16:40:00/36	Acunia	Acunia N.V.
00:50:C2:16:50:00/36	Ipcast
00:50:C2:16:60:00/36	Infineer	Infineer Ltd.
00:50:C2:16:70:00/36	Precisio	Precision Filters, Inc.
